# Wavelength[Angstrom] Flux_16[erg/s/cm^2/A] Flux_22[erg/s/cm^2/A] Flux_30[erg/s/cm^2/A] Flux_40[erg/s/cm^2/A]
1.232134056185313057e+04 5.562909324106944401e-15 2.400711073097914874e-15 1.006624241553719930e-15 6.698872338006352362e-16
1.229165642361964819e+04 5.667203479148368282e-15 2.400174092707293479e-15 1.002513061589138240e-15 6.685620534297485898e-16
1.226211496958995667e+04 5.634085812999374565e-15 2.380587926996954320e-15 1.017735804398128922e-15 6.752263670685050087e-16
1.223271517345990105e+04 5.735414224316812412e-15 2.425347742826613529e-15 1.043336816610979881e-15 6.672691231516054719e-16
1.220345601874450949e+04 5.702648836806192392e-15 2.420000229934619836e-15 1.086414537438152130e-15 6.837161524343759406e-16
1.217433649866082487e+04 5.785855223393720419e-15 2.487615760996958423e-15 1.073854597975540190e-15 7.123574254942636332e-16
1.214535561601243717e+04 5.835848945313675305e-15 2.550439867682551987e-15 1.085526319589513252e-15 7.340879000593047350e-16
1.211651238307565654e+04 5.923852462335344375e-15 2.608106147323620558e-15 1.153241003540385455e-15 7.405063556671553878e-16
1.208780582148728354e+04 6.000604727272199906e-15 2.710101121356003968e-15 1.157560319402375308e-15 7.952850640322637530e-16
1.205923496213400176e+04 6.093208437953521802e-15 2.743891823855799627e-15 1.210677155992080844e-15 7.853972731114620625e-16
1.203079884504331130e+04 6.061598647272023512e-15 2.838570369558156469e-15 1.243404106827034693e-15 7.864181095901344113e-16
1.200249651927601008e+04 6.224291962112597565e-15 2.937680386761823773e-15 1.279510595407734444e-15 8.599474949031754672e-16
1.197432704282019404e+04 6.352758997405922907e-15 3.003676180143414742e-15 1.272586094924272459e-15 8.934802932473435720e-16
1.194628948248673987e+04 6.336629427318174155e-15 3.078080474845888556e-15 1.315948989941449363e-15 8.647557838222039890e-16
1.191838291380625560e+04 6.467410907016251702e-15 3.135554906542134860e-15 1.331839814591214840e-15 8.594233508715158365e-16
1.189060642092746821e+04 6.626871820155143705e-15 3.192276823083434876e-15 1.379502234032061185e-15 9.004709461012417814e-16
